cleaned_text,labels
i reached the bus stop and realized that i had forgotten my bus pass,anger
my current work load is too much the feeling comes back from time to time,sadness
,disgust
,shame
,guilt
when my one year old son gives me a spontaneous kiss,joy
when someone close to me is travelling by car and is delayed,fear
when someone does something wrong which affects me negatively,anger
when i think about my parents getting old,sadness
,disgust
,shame
i do not have the time for other peoples problems my motherinlaw is sometimes depressed and i do not have the time the desire or the strength to help,guilt
an colleague asked me if i was interested in working in their accounts bureau they needed clever people and he had immediately thought of me,joy
i was driving and a deer suddenly appeared in front of the car when there was a lot of traffic behind me,fear
i saw a report on to news on apartheid in south africa,anger
,sadness
,disgust
,shame
,guilt
when my girlfriend became pregnant,joy
when i nearly collided with another car,fear
the time when someone let the air out of the tires of my cycle,anger
when i read a lot and did not remember anything,sadness
,disgust
,shame
the time that i had to put my dog to sleep,guilt
,joy
,fear
,anger
long illness,sadness
when i passed an exam,joy
when i was travelling by tram i tripped and fell against the door i thought that i was going to fall out,fear
when i missed the tram after having run for it,anger
the inability to read a book at college,sadness
if a guy one is not interested in makes advances,disgust
i drink wine too often,shame
i do not study enough as i do not understand it properly,guilt
i worked at a lawyers office during summer and i got a very good reference from him,joy
i had been watching a thriller a dark night in the country and i had to go the outside toilet on my own,fear
when i am accused of something i have not done i get unbelievably angry,anger
when i began to read a thick book which i had a limited time to read also when i have a lot of work to do and i cannot keep up,sadness
someone vomited on the street,disgust
i can not think of any incident when i have felt very ashamed there are small incidents that i am ashamed of for instance not sending money to the children in ethiopia,shame
i had lunch with my boyfriend and did not mention it to my fiancée i felt guilty despite the fact that i felt nothing for my boyfriend,guilt
when i was finally qualified for my profession,joy
someone attacked me with a knife,fear
someone drove into my car and then denied that it had happened,anger
when i was told that my friends wife had cancer,sadness
when i saw a dog which had been knocked down by a car,disgust
when i boxed my child ears,shame
when i was fined for speeding,guilt
i stopped working had a boring job,joy
i was going home by car late one night when it was cold dark and windy i became rather panicky on the way to my house,fear
quarrel in the family,anger
when i am alone in a room with no contact with anyone loneliness drains me,sadness
when i was on holiday someone vomited in front of me,disgust
emptied a bucket of water in a hospital,shame
when i feigned sick leave from work,guilt
when i get a hug from someone i love,joy
i was driving very fast on a small road and i met an oncoming car in a right handed bend the other driver was on his own side of the road and i had to skid out of it to avoid a collision it was dark,fear
my car had been towed away by the traffic police because it had been wrongly parked however the sign had been put up only after i had already parked,anger
after an operation i had to stay in bed for a long time,sadness
i was forced to stay in the canteen and eat the food that i had not asked for but got it anyway,disgust
when i did not buy what i had promised to,shame
by mistake i took a book from the library which was not supposed to be loaned out,guilt
when i won an unexpected sum of money,joy
my year old daughter disappeared in a moment of inattention i was responsible for her,fear
a colleague asked me for some advice and as he did not have enough confidence in me he asked a third person,anger
i wanted to be pregnant and did not succeed so i was depressed at every menstruation,sadness
in a warm bus full of people someone vomited and the whole bus stank,disgust
i complained about a colleagues behavior as she goes back on her word is often absent and is irresponsible i found out that she was an alcoholic and was trying to fight against her addiction,shame
i spoke to my mother on the phone she had skin cancer and was waiting to be operated i forgot to ask her the date of the operation and just before finishing our conversation she gave me the date in passing,guilt
when i was at a party i met an old friend from an adult education course we had not met for years but had both thought a lot about each other a wonderful experience,joy
when i was cycling through the park late one night two people jumped out of the woods and tried to stop me there were shouting something at the same time,fear
when close relatives tried to dissuade me from studying psychology because of its low status,anger
i had a long discussion on politics with an acquaintance he was more knowledgeable than me and i failed to explain my point of view and was misunderstood so i felt depressed and left,sadness
when i read a newspaper article on a young girl who had been raped and assaulted one night by several men when she was unconscious,disgust
my mother revealed personal details about me and the negative aspects of my character to other people when i was present but unable to defend myself,shame
i was unfaithful to my partner once when he was working abroad for a long period,guilt
when i recently got an apartment in central gottenburg,joy
when i saw a large spider crawling up the wall,fear
my employer took too many aspirins for a bad back and also drank an enormous amount of spirit this was dangerous and he did not understand that he had done anything wrong,anger
when i left new york and all my family and my friends behind me,sadness
when i slept with a guy because my best friend wanted me to he had never had intercourse with anyone and had a terrible complex about it,disgust
when i dated a close girlfriends boyfriend a few times he told me that it was over between them and i accepted it when she found out she finished our friendship,shame
when i broke off with my boyfriend after three years it was quite unexpected for him and there was no particular reason for the break up such as someone else,guilt
when my son returned from mountaineering healthy in body and soul,joy
when one meets new people with whom one is forced to collaborate with,fear
the sports fishermen who catch gulls instead of fish with their hooks it is often a mistake but it makes me angry,anger
i feel sad about an event i can not influence,sadness
when a member of the family complains about the food that is served it disgusts me,disgust
,shame
i have chosen to put my son in a private school were the examination marks are low every time that he gives me his term results i am left with a sense of guilt,guilt
when i was informed that i had been accepted as a student of psychology,joy
when i was in a little fishing boat and we ran into hard weather in the open sea,fear
when i found out that the guy i was dating at a particular time had a steady relationship going on with someone else for a long time,anger
i felt sad and depressed when i heard that our cat had died,sadness
when i was working as a nurse in a mental hospital a patient ate up the contents of another patients spittoon,disgust
at primary school when i vomited in front of others in the middle of a lesson,shame
i arrived an hour late for an important meeting i had misunderstood the time,guilt
when i was accepted as a student of psychology,joy
when my son has a pain in his leg for no apparent reason,fear
when after a week at school a teacher sent a note home saying that my son was inattentive and unable to do his lessons,anger
when i thought that it was going to be impossible for me to start studying due to wrong information from the student advisor,sadness
at a certain persons lack of cleanliness at home and personally,disgust
when i made the same mistake that i had accused someone else of and this was obvious to a third person,shame
when i lost something that was valuable to my sister,guilt
when my son was born,joy
when i nearly drowned in icy water wearing ice skates it was difficult to get out,fear
when i was pointed out as a problem child in primary school and my mother took the teachers point of view,anger
when i was accused of neglecting work for the wrong reasons,sadness
my parents attitude towards each other when they should become reconciled despite my fathers longtime addiction,disgust
when i was caught stealing money from my father,shame
i stole a coconut cake from a reception table and when i put in my mouth i realized that the host was watching me,guilt
when after months of national service i was downgraded and did not have to do the remaining months,joy
when i was reprimanded by the manager of the hotel where i worked during autumn,fear
when my parents drove me to a nearby place and went home immediately instead of waiting a few hours they could have easily waited,anger
when my girlfriend and i discovered that there was a certain risk of her being pregnant,sadness
when i was about to clean the draining board and saw it looked underneath the sink i live in a students hostel,disgust
when my mother caught me masturbating,shame
as the only person in my family into academics i ought to have looked after my younger and only sister better with respect to her education and life experiences,guilt
when my older sister told us that she was thinking of joining the rest of the family for the winter sports holiday,joy
slept in a chapel and in the middle of the night i realized that there was someone else in the chapel i never discovered who it was and why he was there,fear
when we were in high school a few guys sometimes provoked a friend of mine they called her a pig and then grunted this irritated most of the girls once one of the girls got angry at my friend and said something nasty and this made me terribly angry,anger
i talked to my boyfriend on the phone when i was in high spirits and had a lot to tell him i had been looking forward to this conversation and he did not listen to me to the extent that i had anticipated,sadness
a mother who shouts at her child for nothing,disgust
when i complained to my mother about how untidy the kitchen looked she boxed my ears this had never happened before,shame
as i could not be home before midnight i called home at and asked them to leave the door open so that i could get in i actually woke up the whole family by calling them so late my mother could not go back to sleep besides she had a conference the next day and really needed to sleep,guilt
when i got through the first day here at the department,joy
when i was cycling past a parked car someone opened the door and nearly pushed me off my bike and into the traffic,fear
when my boyfriend sat up half the night playing computer games with a friend,anger
when i had to leave my mother and my sister after a weeks visit,sadness
when i saw a big spider from very close,disgust
when i asked a friend to return the money that i had loaned her and then remembered that she had relayed me in several ways,shame
when one of my parents insinuates something about the other they are divorced,guilt
when i was asked to be a child godmother,joy
on the way down a ski slope which was difficult and steep,fear
when my mother interfered in my life,anger
when i was left alone one weekend without being prepared for it,sadness
the first time that i saw a surgeon cut off a leg and put it in a black rubbish bag,disgust
when i forgot about a meeting at work,shame
when i demand too much from my friends,guilt
when my husband suddenly came to see me at my new job and brought some flowers and cake with him,joy
when i was nearly attacked by a man who had been chasing me,fear
when my father asked me if i was a communist at the same time he made it clear that i should no longer see myself as his daughter,anger
when i applied for a job which i thought i had a good chance of getting i was not even granted an interview and did not get the job,sadness
to features showing the violation of defenseless people,disgust
when i as a child of or i was playing doctor with the neighbors boys their mother caught us,shame
when my husband talked about the restrictions he will have to accept in his life to make our marriage work i felt that it was directed at me as it was me who had demanded the changes we were with a marriage counsellor then,guilt
when we were able to afford a new sofa a leather one which cost see i had waited for it for years,joy
vertigo standing on a ladder and painting the house,fear
when my boss enrolled in a course to satisfy his own ends to trample on his associates i have the misfortune to have one of my superiors in my course,anger
when i argue with my mother about the way she treats her two children differently,sadness
spit and vomit,disgust
spots on the seat covers of my husbands car,shame
not speaking to my sisterinlaw due to lack of interest in a relationship on my side,guilt
when i recently managed to get my first consulting assignment myself i on my own initiative,joy
i was within a hairs breadth of knocking down a drunkard who suddenly ran into the street the fear came later when i realized what could have happened,fear
when my friend as usual forgot the tickets at home for a performance we missed it,anger
the elections of and the thought of what a social democrat and communist majority could achieve especially worker share funds and its extension,sadness
a study visit to a chicken factory the butchery the smell the environment and the noise,disgust
confession to my parents about my involvement in a moped theft,shame
no answer as i see very little difference between shame and guilt therefore see answer for shame,guilt
when i was appointed to position of trust in a group set up to change the working environment,joy
i was alone in a cottage i often stay in i was woken up by a rustling sound in the middle of the night,fear
when i tried to explain to a plumber face to face that the toilet was broken and he did not believe it it had been mended ten times,anger
when the result of a project work was treated nonchalantly instead of being criticized by the teacher,sadness
when programmed on violence or pornography are shown on to,disgust
when i talked maliciously about a colleague at work to someone else immediately afterwards i felt ashamed,shame
when i decided to take a week s holiday without consulting the family first,guilt
after my girl and i talked things over our relationship changed and became positive a difficult time turned into pleasant one,joy
when we could not land our plane and we knew that the fuel was running out bad weather had already frightened us,fear
when i read about reasons tactical decision concerning the south african boycott,anger
when my half brother became seriously ill with cancer and died later,sadness
a film were a woman was attacked and raped one did not see the worst but it had the desired effect very strong,disgust
i made a comment and it was interpreted completely differently from what i had meant when i said it i realized how my mother had understood it,shame
i had promised to visit my girlfriend but for different reasons could not make it i rang up later to tell her that i could not come,guilt
when i was offered a high position of trust which i later accepted,joy
i had the window open and the door was shut so that the kitten would not go out my partner came in and started talking about something and i forgot about the window and suddenly i saw the kitten hanging from the window frame i was rigid with fright till i got hold of her,fear
some noisy guests arrived at the hotel i had been slightly irritated earlier at night when i was trying to sleep they were having a party so i went and yelled at them i wanted to sleep as i had to get up early the next day,anger
when i was told that i had not been successful in getting the job i had been expecting i was sure that i was sufficiently qualified,sadness
when my cat vomited and a worm came out which was still alive i was forced to wipe it up,disgust
when i was a child it was found out that i had taken off my clothes outdoors it was summer and my friend and i were out in the woods it had felt exciting at that time my parents discovered that my trousers were back to front and i felt ashamed,shame
when i stole money from my mother and she asked me later if i was responsible i never admitted it,guilt
cycling in the spring sunshine gives me such delight happiness is to be healthy my wonderful finance simply being here on earth,joy
when my relationship with my family is very poor i often fear being excluded from the group a fear which is stronger in situations when an argument is on hand,fear
recently when my sister who is four years younger than me and very spoiled shouted at my mother for no apparent reason the heartbroken expression on my mothers face made me feel very angry,anger
when i watched the to programmed called the living planet and saw the far reaching environmental destruction caused by man,sadness
disgust is a feeling that i have never experienced with people but on the other hand it has been with repulsive animals i snakes on to,disgust
when relatives have acted strangely and unfriendly towards me,shame
when due to hunger and tiredness i became generally irritated with my fiancée and made cutting remarks which really hurt him later i realized that my unfounded irritation had hurt the person i love most on earth,guilt
on a boat trip to denmark of us had a lot of fun and we spent see each on one armed bandits and against all odds we won the jackpot of see,joy
a rainy day i was cycling downhill and a car door suddenly opened and while trying to avoid it the back wheels of my bike got caught in the tram tracks i somersaulted but had no injuries,fear
on the way home from marshland i was driving behind my fathers car another car tried to push in front of my father and he was forced to swerve and he thus collided the car with a pillar the other car drove off without even seeing what had happened,anger
my girlfriend who had spent months abroad broke off our relationship by letter,sadness
at the police center a man between was brought in he was very drunk and in all likelihood had not slept indoors for a long time and had relieved himself in his trousers,disgust
a customer at the shop where i worked came in and asked if the goods that he had ordered had arrived i had totally forgotten about this order and i tried to offer weak excuses,shame
i was years old when i hid the bicycle keys of a not very good friend after a few hours i pretended that i had found it,guilt
when i was at the endoderm party last week and had fun was happy and sang and drank only soft drinks it is possible to have a good time without alcohol,joy
last summer i was walking along the beach in a bikini and an awful man came cycling after me he was shouting and i ran as fast as my legs could carry me,fear
in a course i thought that i deserved good marks but i only got ordinary marks with no justification as to why i was given these marks,anger
